animal_id,timestamp,temperature,Fxa,Mya,Rza,Sxg,Lyg,Dzg
A001,2025-10-29 00:00:00,38.54,0.097,-0.017,0.842,0.777,0.456,0.608
A001,2025-10-29 00:01:00,38.49,0.073,-0.019,0.927,0.735,0.535,0.521
A001,2025-10-29 00:02:00,38.52,0.064,0.039,0.918,0.534,0.43,0.507
A001,2025-10-29 00:03:00,38.44,0.083,0.01,0.888,0.485,0.395,0.009
A001,2025-10-29 00:04:00,38.47,0.104,0.003,0.898,0.637,0.293,0.388
A001,2025-10-29 00:05:00,38.5,0.035,0.012,0.957,1.018,0.584,0.513
A001,2025-10-29 00:06:00,38.46,0.039,-0.007,0.905,0.711,0.537,0.313
A001,2025-10-29 00:07:00,38.5,0.032,0.004,0.927,0.796,0.114,0.362
A001,2025-10-29 00:08:00,38.53,0.094,0.02,0.858,0.835,0.456,0.392
A001,2025-10-29 00:09:00,38.44,0.071,0.018,0.855,1.041,0.477,0.726
A001,2025-10-29 00:10:00,38.51,0.054,0.007,0.964,0.576,0.493,0.393
A001,2025-10-29 00:11:00,38.55,0.103,0.041,0.908,0.638,0.497,0.274
A001,2025-10-29 00:12:00,38.51,0.096,-0.005,0.863,1.142,0.673,0.424
A001,2025-10-29 00:13:00,38.5,0.056,0.025,0.863,1.012,0.663,0.462
A001,2025-10-29 00:14:00,38.42,0.045,0.012,0.858,0.746,0.256,0.383
A001,2025-10-29 00:15:00,38.44,0.039,0.008,0.874,0.859,0.482,0.521
A001,2025-10-29 00:16:00,38.49,0.009,-0.005,0.898,0.433,0.17,0.363
A001,2025-10-29 00:17:00,38.59,0.09,0.01,0.9,0.636,0.291,0.692
A001,2025-10-29 00:18:00,38.58,0.081,-0.036,0.975,0.729,0.423,0.691
A001,2025-10-29 00:19:00,38.58,0.058,0.017,0.896,0.622,0.175,0.406
A001,2025-10-29 00:20:00,38.54,0.058,0.033,0.873,0.84,0.204,0.545
A001,2025-10-29 00:21:00,38.51,0.106,-0.02,0.9,0.773,0.241,0.343
A001,2025-10-29 00:22:00,38.47,0.116,0.025,0.921,0.469,0.278,0.543
A001,2025-10-29 00:23:00,38.54,0.119,0.016,0.949,0.782,0.497,0.358
A001,2025-10-29 00:24:00,38.47,0.058,-0.002,0.932,0.68,0.311,0.428
